title,totalScore,reviewsCount,location/lat,location/lng,neighborhood,url,Kecamatan,Jiwa/km²,nearby_alfamart,second_nearby_alfamart,cluster
Indomaret Spbu Singadekane,4.0,10,-3.0441531,104.7314614,Kertapati,https://www.google.com/maps/search/?api=1&query=Indomaret%20Spbu%20Singadekane&query_place_id=ChIJr7y2d42eOy4RR6UG86G5XOc,Kertapati,2423,0,0,1
Indomaret HM Ryacudu,4.5,179,-2.9988178,104.768728,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret%20HM%20Ryacudu&query_place_id=ChIJR0ZIcxYERQURvOr8eZYKy7I,Seberang Ulu I,15799,1,0,0
Indomaret Ahmad Yani 2,4.5,183,-2.9963358,104.7754007,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret%20Ahmad%20Yani%202&query_place_id=ChIJm1xPsSKdOy4RLtaxk-YzKic,Seberang Ulu I,15799,1,0,0
INDOMARET SYAKYAKIRTI,3.7,6,-3.0185389,104.7293491,Gandus,https://www.google.com/maps/search/?api=1&query=INDOMARET%20SYAKYAKIRTI&query_place_id=ChIJj5Rhdp6fOy4Riew542MWI-4,Gandus,1689,1,0,0
Indomaret Silaberanti,4.5,174,-3.000223,104.7784175,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret%20Silaberanti&query_place_id=ChIJtXgHo3edOy4RsRW6kz8dpYI,Seberang Ulu I,15799,0,0,1
Indomaret Naskah,4.4,119,-2.9400006,104.723628,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Naskah&query_place_id=ChIJk8KrhOJ1Oy4RTnjDE3s3dVU,Sukarami,5295,0,0,1
Indomaret Batu Jajar,4.7,51,-2.9273378,104.7321232,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Batu%20Jajar&query_place_id=ChIJI4-cCPF1Oy4RyF3eRl0L6d4,Sukarami,5295,0,0,1
Indomaret Surya Sakti,3.3,4,-2.9277288,104.7202958,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Surya%20Sakti&query_place_id=ChIJ-R8O5Ap1Oy4R3bnVn7wTDXo,Sukarami,5295,0,0,1
Indomaret Sukabangun 2,2.7,3,-2.9416844,104.7313775,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sukabangun%202&query_place_id=ChIJFwgS8yl1Oy4RPTH3IyxChgw,Sukarami,5295,1,1,2
Indomaret | Srijaya - Kota Palembang,4.4,369,-2.9455774,104.7310234,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomaret%20%7C%20Srijaya%20-%20Kota%20Palembang&query_place_id=ChIJ9XsZUDh0Oy4RTjI-dr6lJ9U,Alang-Alang Lebar,4823,1,0,0
