title,totalScore,reviewsCount,location/lat,location/lng,neighborhood,url,Kecamatan,Jiwa/km²,nearby_alfamart,second_nearby_alfamart,cluster
Indomaret Wahid Hasyim 3,4.9,9,-3.0095057,104.7600911,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret%20Wahid%20Hasyim%203&query_place_id=ChIJ5RuROuSdOy4R4ZulKSMCXNc,Seberang Ulu I,15799,1,1,2
Indomaret Azhari 2,4.6,173,-2.9878432,104.7810301,Seberang Ulu II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Azhari%202&query_place_id=ChIJ8b4BfCN2Oy4RMjSDCLhF5gE,Seberang Ulu II,12784,0,0,1
Indomaret WAHID HASYIM 5 ULU,4.3,6,-3.0060235,104.7625438,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret%20WAHID%20HASYIM%205%20ULU&query_place_id=ChIJB0HzCladOy4RGCVU40fHgkg,Seberang Ulu I,15799,0,0,1
Indomaret,3.0,2,-3.0094904,104.7594385,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJU3j2nkSdOy4RI72efZRx-ZE,Seberang Ulu I,15799,1,1,2
Indomaret Azhari 3,3.2,14,-2.9925848,104.767947,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret%20Azhari%203&query_place_id=ChIJGwe1SRx2Oy4RHrjvULP4gyo,Seberang Ulu I,15799,0,0,1
Indomaret Merdeka 2,2.5,2,-2.990711,104.756322,Bukit Kecil,https://www.google.com/maps/search/?api=1&query=Indomaret%20Merdeka%202&query_place_id=ChIJRyY0QAB3Oy4Rgu37w_ZjTUw,Bukit Kecil,16408,0,0,1
Indomaret Perum Talang Kelapa,4.0,1,-2.9415422,104.6883506,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomaret%20Perum%20Talang%20Kelapa&query_place_id=ChIJNwymcOx0Oy4RQWhjA53svdA,Alang-Alang Lebar,4823,1,0,0
INDOMARET TALANG KELAPA 001,4.4,59,-2.9384764,104.6875338,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=INDOMARET%20TALANG%20KELAPA%20001&query_place_id=ChIJbzo6Uet0Oy4R3CfL3k0Ou8A,Alang-Alang Lebar,4823,1,0,0
Indomaret,5.0,2,-2.9539683,104.6873924,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJ7Q9-XOF0Oy4R0MO-Wl6_HYM,Alang-Alang Lebar,4823,1,0,0
Indomaret Taranggano,4.5,103,-2.94936,104.6893678,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomaret%20Taranggano&query_place_id=ChIJXY2iSiN1Oy4ROyOSTehix7U,Alang-Alang Lebar,4823,0,0,1
Indomaret Citra Grand City Palembang,4.4,264,-2.92917,104.6813447,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomaret%20Citra%20Grand%20City%20Palembang&query_place_id=ChIJTdH6Tb10Oy4R0jvVQbo-308,Alang-Alang Lebar,4823,1,0,0
ATM Mandiri Indomaret,5.0,1,-2.9687129,104.7640459,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=ATM%20Mandiri%20Indomaret&query_place_id=ChIJ3XwW1G92Oy4RHifJ40bcT54,Ilir Timur II,10071,0,0,1
Indomaret Pagar Alam 4,4.2,5,-2.9095341,104.717311,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Pagar%20Alam%204&query_place_id=ChIJeca7-Y9zOy4RvPgKZVNVs1s,Sukarami,5295,0,0,1
Indomaret AMD Sukarami,4.6,95,-2.8960477,104.7198417,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20AMD%20Sukarami&query_place_id=ChIJ6Ummj3NzOy4Rc5Y-M2e9aIs,Sukarami,5295,1,0,0
Indomaret - SimpangBandara,4.5,19,-2.9035979,104.7251879,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20-%20SimpangBandara&query_place_id=ChIJlxGvFBBzOy4Rmhh-AyY7eZY,Sukarami,5295,0,0,1
Indomaret Tanjung Api-Api 058,4.5,152,-2.8966025,104.7259649,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Tanjung%20Api-Api%20058&query_place_id=ChIJ75VOuYBzOy4RD7z6xwZ4Nek,Sukarami,5295,0,0,1
INDOMARET Lubuk Kawah,4.5,67,-2.9125061,104.7219748,Sukarami,https://www.google.com/maps/search/?api=1&query=INDOMARET%20Lubuk%20Kawah&query_place_id=ChIJj5l_hMZzOy4RP4va2D9Zm_k,Sukarami,5295,0,0,1
Indomaret Kebun Bunga 27,4.4,46,-2.9160423,104.717642,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Kebun%20Bunga%2027&query_place_id=ChIJvY10hohzOy4RzSZ-XBrn3vw,Sukarami,5295,1,0,0
Indomaret spbu noerdin pandji,4.3,7,-2.9041704,104.7299308,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20spbu%20noerdin%20pandji&query_place_id=ChIJufRerSxzOy4Rayhri_3wkAU,Sukarami,5295,0,0,1
Indomaret Talang Jambe,4.0,4,-2.8789689,104.7175831,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Talang%20Jambe&query_place_id=ChIJny-zXU1yOy4RwbnVbRmFXYI,Sukarami,5295,0,0,1
Indomaret Simpang Kebun Bunga Ujung,5.0,1,-2.908892,104.7220636,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Simpang%20Kebun%20Bunga%20Ujung&query_place_id=ChIJy1W3O5pzOy4RCNR6Kxgt6Fs,Sukarami,5295,1,0,0
Indomaret Pesantren SMB II,2.8,4,-2.8941432,104.7173004,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Pesantren%20SMB%20II&query_place_id=ChIJ_Z-mU7tzOy4RdHqFfnZLRdg,Sukarami,5295,1,0,0
Indomaret Green Resort,4.7,93,-2.9249663,104.6827926,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomaret%20Green%20Resort&query_place_id=ChIJQ954Hvx1Oy4RUZI8S8uv6uw,Alang-Alang Lebar,4823,0,0,1
Indomaret Abiasan,3.0,27,-2.9422124,104.7617993,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Abiasan&query_place_id=ChIJo54sNFcFRQURv8M-H10CAn8,Ilir Timur II,10071,0,0,1
Indomaret Kopral Anwar,5.0,4,-2.9251911,104.7772504,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Kopral%20Anwar&query_place_id=ChIJPak5fwB3Oy4Rupzl2iPcm-4,Sako,6839,0,0,1
Indomaret Mangkunegara 2,4.6,5,-2.936478,104.7677542,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Mangkunegara%202&query_place_id=ChIJp-bRATh3Oy4R5sFc8bcyuMg,Ilir Timur II,10071,0,0,1
Indomaret Tanjung Sari 1,4.5,70,-2.93741,104.7758462,Kalidoni,https://www.google.com/maps/search/?api=1&query=Indomaret%20Tanjung%20Sari%201&query_place_id=ChIJQcviyad3Oy4R9ef7rfOkgKM,Kalidoni,4034,0,0,1
Indomaret mangkunegara kebun sirih,4.4,14,-2.9480459,104.767985,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret%20mangkunegara%20kebun%20sirih&query_place_id=ChIJ7aXVr0QFRQURhg80kvY9kbk,Ilir Timur II,10071,0,0,1
Indomaret | Sialang - Kota Palembang | Siaran,4.0,21,-2.9313252,104.7908684,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20%7C%20Sialang%20-%20Kota%20Palembang%20%7C%20Siaran&query_place_id=ChIJP9SfNQIQRQURchc8vBZezII,Sako,6839,1,1,2
Indomaret Celentang,4.4,100,-2.9496121,104.7853338,Kalidoni,https://www.google.com/maps/search/?api=1&query=Indomaret%20Celentang&query_place_id=ChIJbViV8_B2Oy4RkL7kyQNRIww,Kalidoni,4034,1,0,0
Indomaret R.H Amaluddin,4.3,122,-2.9290784,104.7752461,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20R.H%20Amaluddin&query_place_id=ChIJ92ogZAMQRQURkqIPK6tcdAg,Sako,6839,0,0,1
Indomaret Najamudin - TE1E,4.2,103,-2.9194228,104.7708808,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Najamudin%20-%20TE1E&query_place_id=ChIJleXslLR2Oy4R-_psOGsDyJs,Sako,6839,1,1,2
INDOMARET MUSI RAYA TIMUR,4.5,72,-2.9329215,104.7855961,Sako,https://www.google.com/maps/search/?api=1&query=INDOMARET%20MUSI%20RAYA%20TIMUR&query_place_id=ChIJz5fydhp3Oy4RQOpCr6eeCy4,Sako,6839,0,0,1
Indomaret Musi Raya Utara,4.5,182,-2.929204,104.781114,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Musi%20Raya%20Utara&query_place_id=ChIJmRxRdsZ2Oy4R23MWik8Gq4Y,Sako,6839,1,1,2
Indomaret Arjuna Raya,4.7,100,-2.9297694,104.7913833,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Arjuna%20Raya&query_place_id=ChIJ4yv6r5N3Oy4R-HiA_H3QK_0,Sako,6839,1,0,0
Indomaret Jl. Siaran,4.3,79,-2.9248436,104.7847182,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Jl.%20Siaran&query_place_id=ChIJzbMfYRoQRQURsmARUmhydLE,Sako,6839,0,0,1
Indomaret Angkatan 66,3.8,44,-2.9453253,104.7516041,Kemuning,https://www.google.com/maps/search/?api=1&query=Indomaret%20Angkatan%2066&query_place_id=ChIJkWE2koJ2Oy4RY59DFkqAyIg,Kemuning,12621,0,0,1
Indomaret Supersemar,4.4,34,-2.9399634,104.7505597,Kemuning,https://www.google.com/maps/search/?api=1&query=Indomaret%20Supersemar&query_place_id=ChIJfxRH9mp1Oy4RXfXECqwlkdU,Kemuning,12621,0,0,1
Indomaret Ganda Subrata,4.3,126,-2.931928,104.762978,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Ganda%20Subrata&query_place_id=ChIJS3kvJQIQRQURsBUrcvn2uQE,Sako,6839,1,0,0
Indomaret Perumnas Raya,4.6,8,-2.9277527,104.7769662,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Perumnas%20Raya&query_place_id=ChIJ_QIKKhR3Oy4R2QlBB-akbmg,Sako,6839,0,0,1
Indomaret Sako Baru,4.5,217,-2.9188968,104.7766154,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sako%20Baru&query_place_id=ChIJPWz6dsZ2Oy4R9ZCxy8BM5lg,Sako,6839,1,0,0
Indomaret Borang,4.5,421,-2.9223848,104.7897324,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Borang&query_place_id=ChIJedXBK9J2Oy4RcL0eUiJ_T3o,Sako,6839,0,0,1
Indomaret Sako Dalam,4.4,285,-2.9193619,104.7819234,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sako%20Dalam&query_place_id=ChIJHR7emMx2Oy4RQ79QmGkhBVQ,Sako,6839,0,0,1
Indomaret Musi Raya Barat,4.0,5,-2.932345,104.7892232,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Musi%20Raya%20Barat&query_place_id=ChIJfxOLn8x3Oy4RuzhZTSmMJvo,Sako,6839,0,0,1
Indomaret | Bukit Sangkal - Abdul Rozak - Palembang,3.9,7,-2.9489569,104.7733354,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret%20%7C%20Bukit%20Sangkal%20-%20Abdul%20Rozak%20-%20Palembang&query_place_id=ChIJnzP-Go12Oy4R7AUAvG-ME6E,Ilir Timur II,10071,0,0,1
PT. INDOMARCO PRISMATAMA,4.3,464,-2.9200968,104.7683645,Sako,https://www.google.com/maps/search/?api=1&query=PT.%20INDOMARCO%20PRISMATAMA&query_place_id=ChIJAXExCLN2Oy4RMttTs8XEGVE,Sako,6839,0,0,1
Indomaret Sapta Marga,4.9,8,-2.9413619,104.7728509,Kalidoni,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sapta%20Marga&query_place_id=ChIJU5lJiZR2Oy4RFSG-A3JBs7k,Kalidoni,4034,0,0,1
Indomaret Mangkunegara 432,4.2,6,-2.9449875,104.7674531,Kalidoni,https://www.google.com/maps/search/?api=1&query=Indomaret%20Mangkunegara%20432&query_place_id=ChIJ2z5IMdt3Oy4RvhKZfi6weyQ,Kalidoni,4034,0,0,1
Indomaret Sematang Borang,4.5,219,-2.9231107,104.7829118,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sematang%20Borang&query_place_id=ChIJQ0Isv2J3Oy4RGXlx52X-jS8,Sako,6839,1,0,0
Indomaret Letkol Iskandar 2,3.9,22,-2.9435567,104.7600518,Ilir Timur III,https://www.google.com/maps/search/?api=1&query=Indomaret%20Letkol%20Iskandar%202&query_place_id=ChIJr6t4oFAFRQURABYxsLCwPXQ,Ilir Timur III,12064,0,0,1
Indomaret,4.5,19,-2.9352989,104.7657879,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJcxOlN4N3Oy4RajXfKUkaXtg,Ilir Timur II,10071,1,0,0
Indomaret Pipa Jaya,4.4,100,-2.9418834,104.7558688,Kemuning,https://www.google.com/maps/search/?api=1&query=Indomaret%20Pipa%20Jaya&query_place_id=ChIJk9jvUPJ3Oy4RUhghOBlQ97o,Kemuning,12621,0,0,1
INDOMARET PIPAREJA 12,4.5,69,-2.9457679,104.7535456,Kemuning,https://www.google.com/maps/search/?api=1&query=INDOMARET%20PIPAREJA%2012&query_place_id=ChIJ4wzGusJ3Oy4RaW8WmoU5eYM,Kemuning,12621,0,0,1
Indomaret Noerdin Pandji 381,4.2,13,-2.9184836,104.7663609,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Noerdin%20Pandji%20381&query_place_id=ChIJ1Q4L_Kd3Oy4Rypcq54_xc6A,Sako,6839,0,0,1
Indomaret Hasan Kasyim,2.8,6,-2.942533,104.783829,Kalidoni,https://www.google.com/maps/search/?api=1&query=Indomaret%20Hasan%20Kasyim&query_place_id=ChIJF9IN1u52Oy4Rmow307Ncc-A,Kalidoni,4034,1,0,0
Indomaret Residen Abdul Rozak 431,4.0,6,-2.9493461,104.7777365,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Residen%20Abdul%20Rozak%20431&query_place_id=ChIJfRzq92N3Oy4RysbPkquAvCg,Ilir Timur II,10071,1,0,0
Indomaret,4.2,5,-2.9407184,104.7670888,Ilir Timur II,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJy51GZgB3Oy4RWlwFgUKOmrk,Ilir Timur II,10071,1,0,0
Indomaret Noerdin Pandji,4.5,968,-2.9168681,104.748641,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Noerdin%20Pandji&query_place_id=ChIJ68mDDv9zOy4R2ItBSqWAvUo,Sukarami,5295,0,0,1
INDOMARET BAYSALIM 211,3.1,15,-2.9687349,104.7574873,Ilir Timur I,https://www.google.com/maps/search/?api=1&query=INDOMARET%20BAYSALIM%20211&query_place_id=ChIJDTf98rB3Oy4R207EnGdlcIw,Ilir Timur I,12765,1,0,0
Indomaret Kapten Abdullah 3,3.7,33,-3.0070683,104.81888,Plaju,https://www.google.com/maps/search/?api=1&query=Indomaret%20Kapten%20Abdullah%203&query_place_id=ChIJ4TGM_GidOy4RdbDnnF1Sa-E,Plaju,6026,0,0,1
Indomaret Tegal Binangun Darat,5.0,2,-3.0079846,104.8178013,Plaju,https://www.google.com/maps/search/?api=1&query=Indomaret%20Tegal%20Binangun%20Darat&query_place_id=ChIJmw2TGrmdOy4RRUVhkycAMpQ,Plaju,6026,0,0,1
Indomaret Kapten Abdullah,4.6,15,-3.0035427,104.8176089,Plaju,https://www.google.com/maps/search/?api=1&query=Indomaret%20Kapten%20Abdullah&query_place_id=ChIJR3sWFWadOy4R7Cglk7-lDNc,Plaju,6026,1,1,2
Indomaret Sentosa,4.1,43,-2.9964197,104.804413,Plaju,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sentosa&query_place_id=ChIJH62hiXqdOy4RqvEP1CLMWoE,Plaju,6026,0,0,1
Indomaret Ki Anwar Mangku,4.4,92,-3.0015103,104.8043133,Seberang Ulu II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Ki%20Anwar%20Mangku&query_place_id=ChIJJQFxY3mdOy4RUT2nwpUBwG8,Seberang Ulu II,12784,1,0,0
Indomaret DI Panjaitan 18,5.0,1,-2.9960325,104.818724,Plaju,https://www.google.com/maps/search/?api=1&query=Indomaret%20DI%20Panjaitan%2018&query_place_id=ChIJ5X0SbgCdOy4RKFdXAy9j5PE,Plaju,6026,0,0,1
Indomaret Mega Mendung,2.3,7,-3.0044828,104.8018393,Seberang Ulu II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Mega%20Mendung&query_place_id=ChIJh7VUe4udOy4RYDcCa18Ny-I,Seberang Ulu II,12784,0,0,1
Indomaret Talangputri,4.5,68,-3.0154591,104.8237203,Rambutan,https://www.google.com/maps/search/?api=1&query=Indomaret%20Talangputri&query_place_id=ChIJH05aV7adOy4RJv89JLdGA5s,Plaju,6026,1,0,0
Indomaret Simpang Petai,4.0,137,-3.0222361,104.8064954,Plaju,https://www.google.com/maps/search/?api=1&query=Indomaret%20Simpang%20Petai&query_place_id=ChIJQZh4Gg-dOy4ROXGuAZbojzY,Plaju,6026,0,0,1
Indomaret,2.6,5,-2.9986518,104.7933903,Seberang Ulu II,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJaUvMyWKdOy4RNKVgef3NUt0,Seberang Ulu II,12784,1,0,0
Indomaret Panjaitan 1343,4.4,88,-2.9914856,104.795253,Seberang Ulu II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Panjaitan%201343&query_place_id=ChIJ22mcTQd3Oy4R53asO2wx8rY,Seberang Ulu II,12784,1,0,0
Indomaret Yaktapena 2,3.5,8,-2.9916924,104.784439,Seberang Ulu II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Yaktapena%202&query_place_id=ChIJZR5zafp3Oy4RFDU2vpMMdVM,Seberang Ulu II,12784,1,0,0
Indomaret Point,5.0,2,-2.9758444,104.752428,Ilir Timur I,https://www.google.com/maps/search/?api=1&query=Indomaret%20Point&query_place_id=ChIJw2V6DgB3Oy4RuLI1YInbxlY,Ilir Timur I,12765,0,0,1
Indomaret | 20 Ilir D II - Kota Palembang,4.8,12,-2.9584912,104.7542033,Kemuning,https://www.google.com/maps/search/?api=1&query=Indomaret%20%7C%2020%20Ilir%20D%20II%20-%20Kota%20Palembang&query_place_id=ChIJdTFzun92Oy4RZikV4s-YxEs,Kemuning,12621,1,0,0
Indomaret Letkol Iskandar 2,4.6,11,-2.9838822,104.7558108,Bukit Kecil,https://www.google.com/maps/search/?api=1&query=Indomaret%20Letkol%20Iskandar%202&query_place_id=ChIJS5iZ5Ah2Oy4RpxIUDKGiOJI,Bukit Kecil,16048,1,0,0
Indomaret Mayor Ruslan,4.0,22,-2.9737341,104.7582653,Ilir Timur I,https://www.google.com/maps/search/?api=1&query=Indomaret%20Mayor%20Ruslan&query_place_id=ChIJ0wqkhnN2Oy4RoP69C1ao4CI,Ilir Timur I,12765,1,0,0
Indomaret Mayor Salim Batubara 2,4.4,11,-2.9628646,104.758892,Kemuning,https://www.google.com/maps/search/?api=1&query=Indomaret%20Mayor%20Salim%20Batubara%202&query_place_id=ChIJYWI76nt2Oy4RFiSm8yhoJ5w,Kemuning,12621,1,0,0
Indomaret T06D Mayor Salim Batubara,5.0,4,-2.9605039,104.757806,Kemuning,https://www.google.com/maps/search/?api=1&query=Indomaret%20T06D%20Mayor%20Salim%20Batubara&query_place_id=ChIJM_CWn352Oy4RbbzxA5hA2GQ,Kemuning,12621,1,0,0
Indomaret,4.7,12,-2.9776436,104.758326,Ilir Timur I,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJ-QLRmAx2Oy4RcFfPf_VbGHc,Ilir Timur I,12765,1,0,0
Indomaret kompol moh damsyik,4.5,112,-2.9664445,104.7529183,Kemuning,https://www.google.com/maps/search/?api=1&query=Indomaret%20kompol%20moh%20damsyik&query_place_id=ChIJ-7spjDN3Oy4RhIB1eZZgPlU,Kemuning,12621,0,0,1
Indomaret Kapten Rivai 1436,4.5,12,-2.9784348,104.7494519,Ilir Timur I,https://www.google.com/maps/search/?api=1&query=Indomaret%20Kapten%20Rivai%201436&query_place_id=ChIJdYCTy091Oy4Rh9VfPu7cx5Y,Ilir Timur I,12765,0,0,1
INDOMARET MAYOR SALIM BATUBARA 2001,1.9,20,-2.9687682,104.7552426,Ilir Timur I,https://www.google.com/maps/search/?api=1&query=INDOMARET%20MAYOR%20SALIM%20BATUBARA%202001&query_place_id=ChIJq2aSeIt3Oy4ROmfJhzjfAPg,Ilir Timur I,12765,1,0,0
