gender_encoded,organization_encoded,extracurricular_encoded,origin_jhs_encoded,address_encoded,parent_status_encoded,father_edu_encoded,father_work_encoded,mother_edu_encoded,mother_work_encoded,scholarship_encoded,house_status_encoded,final_score,final_score_cat,rata_rata_nilai,n_agama,n_pkn,n_bindo,n_mat,n_bing,n_por,n_bjawa,n_kejuruan,n_sikap,n_agama_normalized,n_pkn_normalized,n_bindo_normalized,n_mat_normalized,n_bing_normalized,n_por_normalized,n_bjawa_normalized,n_kejuruan_normalized,n_sikap_normalized,absences,family_size,total_family_income
1,1,0,0,1,1,6,0,6,9,0,1,,,87.125,94,84,87,85,82,89,89,87,,1.2558732082795492,0.48071137923032525,0.3736175098327349,0.6183593843666997,-0.768618241382107,1.1437222162172893,0.824218927580784,0.02247059679963432,,1,7,0.0
1,0,0,0,1,1,9,1,6,5,0,2,,,83.875,83,82,87,82,79,84,88,86,,-0.7335786977029932,-0.5880910639415211,0.3736175098327349,-0.3016562002530476,-1.6948555214709178,-0.6051634877519856,0.3790887054929925,-0.5118302604361792,,1,4,0.0
1,0,0,0,1,0,7,9,7,9,0,0,,,87.5,94,83,87,90,84,87,87,88,,1.2558732082795492,-0.05368984235559793,0.3736175098327349,2.1517186920662787,-0.15112672132289995,0.4441679346295793,-0.06604151659479887,0.5567714540354478,,0,5,0.0
1,0,1,0,1,1,9,0,6,9,1,1,,,87.125,94,83,88,85,81,89,89,88,,1.2558732082795492,-0.05368984235559793,0.6643598629389358,0.6183593843666997,-1.0773640014117105,1.1437222162172893,0.824218927580784,0.5567714540354478,,3,4,0.0
0,1,0,0,1,1,7,0,6,0,0,2,,,85.625,91,82,87,84,80,85,89,87,,0.7132954157388558,-0.5880910639415211,0.3736175098327349,0.3116875228267839,-1.3861097614413143,-0.25538634695813067,0.824218927580784,0.02247059679963432,,5,5,0.0
1,0,0,0,1,1,7,10,7,11,0,1,,,85.0,92,82,83,84,81,83,89,86,,0.894154679919087,-0.5880910639415211,-0.7893519025920686,0.3116875228267839,-1.0773640014117105,-0.9549406285458406,0.824218927580784,-0.5118302604361792,,2,6,0.0
1,0,0,0,1,1,4,10,7,9,0,1,,,86.375,94,82,87,84,81,87,90,86,,1.2558732082795492,-0.5880910639415211,0.3736175098327349,0.3116875228267839,-1.0773640014117105,0.4441679346295793,1.2693491496685754,-0.5118302604361792,,4,4,0.0
1,0,0,0,1,1,7,2,7,9,0,1,,,89.0,95,84,87,86,90,90,90,90,,1.4367324724597803,0.48071137923032525,0.3736175098327349,0.9250312459066155,1.7013478388547214,1.4934993570111441,1.2693491496685754,1.6253731685070747,,0,5,0.0
1,0,0,1,1,1,7,10,7,2,0,2,,,84.625,91,82,86,80,79,85,88,86,,0.7132954157388558,-0.5880910639415211,0.08287515672653405,-0.9149999233328792,-1.6948555214709178,-0.25538634695813067,0.3790887054929925,-0.5118302604361792,,0,6,0.0
1,0,0,0,1,0,7,9,6,9,0,0,,,87.375,95,84,84,84,85,91,89,87,,1.4367324724597803,0.48071137923032525,-0.49860954948586766,0.3116875228267839,0.15761903870670363,1.8432764978049991,0.824218927580784,0.02247059679963432,,3,5,0.0
1,0,0,0,1,1,9,1,7,9,0,1,,,87.75,95,85,88,86,85,85,90,88,,1.4367324724597803,1.0151126008162483,0.6643598629389358,0.9250312459066155,0.15761903870670363,-0.25538634695813067,1.2693491496685754,0.5567714540354478,,0,5,0.0
1,0,0,0,1,0,10,9,1,1,0,0,,,89.875,96,84,90,91,88,91,89,90,,1.6175917366400114,0.48071137923032525,1.2458445691513376,2.4583905536061943,1.0838563187955144,1.8432764978049991,0.824218927580784,1.6253731685070747,,2,5,0.0
1,0,0,0,1,1,7,0,6,0,1,2,,,85.5,95,82,87,84,79,84,89,84,,1.4367324724597803,-0.5880910639415211,0.3736175098327349,0.3116875228267839,-1.6948555214709178,-0.6051634877519856,0.824218927580784,-1.5804319749078062,,2,5,0.0
1,0,0,0,1,1,6,2,6,5,1,2,,,86.125,95,84,88,86,79,85,89,83,,1.4367324724597803,0.48071137923032525,0.6643598629389358,0.9250312459066155,-1.6948555214709178,-0.25538634695813067,0.824218927580784,-2.11473283214362,,3,4,0.0
1,0,0,0,1,1,7,1,3,1,0,1,,,88.875,96,83,88,90,87,89,90,88,,1.6175917366400114,-0.05368984235559793,0.6643598629389358,2.1517186920662787,0.7751105587659107,1.1437222162172893,1.2693491496685754,0.5567714540354478,,1,4,0.0
1,0,0,1,1,1,7,10,7,9,0,1,,,89.25,96,82,89,90,88,91,88,90,,1.6175917366400114,-0.5880910639415211,0.9551022160451366,2.1517186920662787,1.0838563187955144,1.8432764978049991,0.3790887054929925,1.6253731685070747,,0,6,0.0
1,0,0,0,1,1,6,10,9,9,0,1,,,84.875,90,84,83,81,81,85,89,86,,0.5324361515586247,0.48071137923032525,-0.7893519025920686,-0.6083280617929634,-1.0773640014117105,-0.25538634695813067,0.824218927580784,-0.5118302604361792,,4,5,0.0
1,0,0,0,1,0,10,9,7,0,0,0,,,85.0,83,83,84,88,83,84,88,87,,-0.7335786977029932,-0.05368984235559793,-0.49860954948586766,1.538374968986447,-0.45987248135250347,-0.6051634877519856,0.3790887054929925,0.02247059679963432,,5,5,0.0
1,0,0,0,1,1,7,10,7,9,0,1,,,89.125,95,84,91,86,86,92,89,90,,1.4367324724597803,0.48071137923032525,1.5365869222575383,0.9250312459066155,0.46636479873630715,2.193053638598854,0.824218927580784,1.6253731685070747,,0,7,0.0
1,0,0,0,1,1,7,1,6,9,0,1,,,87.25,94,82,89,85,81,90,89,88,,1.2558732082795492,-0.5880910639415211,0.9551022160451366,0.6183593843666997,-1.0773640014117105,1.4934993570111441,0.824218927580784,0.5567714540354478,,2,3,0.0
1,1,0,0,1,1,7,10,7,9,0,1,,,88.25,95,84,91,85,83,91,88,89,,1.4367324724597803,0.48071137923032525,1.5365869222575383,0.6183593843666997,-0.45987248135250347,1.8432764978049991,0.3790887054929925,1.0910723112712613,,2,5,0.0
1,0,1,0,1,0,7,9,3,5,0,0,,,85.75,90,83,87,80,82,88,88,88,,0.5324361515586247,-0.05368984235559793,0.3736175098327349,-0.9149999233328792,-0.768618241382107,0.7939450754234343,0.3790887054929925,0.5567714540354478,,3,6,0.0
1,0,1,0,1,1,7,5,7,1,0,1,,,86.375,94,82,88,80,80,91,88,88,,1.2558732082795492,-0.5880910639415211,0.6643598629389358,-0.9149999233328792,-1.3861097614413143,1.8432764978049991,0.3790887054929925,0.5567714540354478,,2,5,0.0
1,0,0,0,1,1,7,0,7,2,0,1,,,87.375,94,84,90,82,81,91,88,89,,1.2558732082795492,0.48071137923032525,1.2458445691513376,-0.3016562002530476,-1.0773640014117105,1.8432764978049991,0.3790887054929925,1.0910723112712613,,1,3,0.0
1,0,0,0,1,1,9,1,7,9,0,1,,,88.0,94,83,89,86,84,89,90,89,,1.2558732082795492,-0.05368984235559793,0.9551022160451366,0.9250312459066155,-0.15112672132289995,1.1437222162172893,1.2693491496685754,1.0910723112712613,,1,4,0.0
1,0,0,0,1,1,9,1,9,9,0,1,,,88.125,95,84,88,86,81,91,91,89,,1.4367324724597803,0.48071137923032525,0.6643598629389358,0.9250312459066155,-1.0773640014117105,1.8432764978049991,1.7144793717563667,1.0910723112712613,,0,4,0.0
1,1,0,0,1,1,9,1,9,9,0,1,,,88.5,96,83,91,88,83,88,90,89,,1.6175917366400114,-0.05368984235559793,1.5365869222575383,1.538374968986447,-0.45987248135250347,0.7939450754234343,1.2693491496685754,1.0910723112712613,,3,4,0.0
